County,State,FIPS Code,Formatted FIPS,"Estimated median value of an owner-occupied home, between 2015-2"
Clarke,IA,19039,19039,110300
Clay,IA,19041,19041,124100
Clayton,IA,19043,19043,121700
Clinton,IA,19045,19045,118100
Crawford,IA,19047,19047,93400
Dallas,IA,19049,19049,248100
Davis,IA,19051,19051,115000
Decatur,IA,19053,19053,83200
Delaware,IA,19055,19055,136100
Des Moines,IA,19057,19057,108500
Dickinson,IA,19059,19059,194300
Dubuque,IA,19061,19061,166800
Emmet,IA,19063,19063,89300
Fayette,IA,19065,19065,104100
Floyd,IA,19067,19067,106200
Franklin,IA,19069,19069,94100
Fremont,IA,19071,19071,109300
Greene,IA,19073,19073,94700
Grundy,IA,19075,19075,130200
Guthrie,IA,19077,19077,117900
Hamilton,IA,19079,19079,106100
Hancock,IA,19081,19081,102200
Hardin,IA,19083,19083,94300
Harrison,IA,19085,19085,120600
Henry,IA,19087,19087,115500
Howard,IA,19089,19089,107100
Humboldt,IA,19091,19091,103800
Ida,IA,19093,19093,100900
Iowa,IA,19095,19095,152500
Jackson,IA,19097,19097,128200
Jasper,IA,19099,19099,134200
Jefferson,IA,19101,19101,118300
Johnson,IA,19103,19103,227600
Jones,IA,19105,19105,138400
Keokuk,IA,19107,19107,90400
Kossuth,IA,19109,19109,102100
Lee,IA,19111,19111,94500
Linn,IA,19113,19113,157000
Louisa,IA,19115,19115,108800
Lucas,IA,19117,19117,96400
Lyon,IA,19119,19119,146900
Madison,IA,19121,19121,177500
Mahaska,IA,19123,19123,115300
Marion,IA,19125,19125,157300
Marshall,IA,19127,19127,106000
Mills,IA,19129,19129,168900
Mitchell,IA,19131,19131,119400
Monona,IA,19133,19133,86900
Monroe,IA,19135,19135,100200
Montgomery,IA,19137,19137,85700
Muscatine,IA,19139,19139,130500
O'Brien,IA,19141,19141,107000
Osceola,IA,19143,19143,93700
Page,IA,19145,19145,94400
Palo Alto,IA,19147,19147,102200
Plymouth,IA,19149,19149,163500
Pocahontas,IA,19151,19151,76000
Polk,IA,19153,19153,179900
Pottawattamie,IA,19155,19155,139800
Poweshiek,IA,19157,19157,141100
Ringgold,IA,19159,19159,98700
Sac,IA,19161,19161,95800
Scott,IA,19163,19163,163200
Shelby,IA,19165,19165,121200
Sioux,IA,19167,19167,167500
Story,IA,19169,19169,185800
Tama,IA,19171,19171,110400
Taylor,IA,19173,19173,80600
Union,IA,19175,19175,104000
Van Buren,IA,19177,19177,92800
Wapello,IA,19179,19179,82100
Warren,IA,19181,19181,187200
Washington,IA,19183,19183,151600
Wayne,IA,19185,19185,81100
Webster,IA,19187,19187,99100
Winnebago,IA,19189,19189,94800
Winneshiek,IA,19191,19191,177300
Woodbury,IA,19193,19193,123300
Worth,IA,19195,19195,106700
Wright,IA,19197,19197,85500
Allen,KS,20001,20001,79300
Anderson,KS,20003,20003,95700
Atchison,KS,20005,20005,110400
Barber,KS,20007,20007,72300
Barton,KS,20009,20009,93300
Bourbon,KS,20011,20011,82700
Brown,KS,20013,20013,88500
Butler,KS,20015,20015,148600
Chase,KS,20017,20017,103600
Chautauqua,KS,20019,20019,49500
Cherokee,KS,20021,20021,82500
Cheyenne,KS,20023,20023,78700
Clark,KS,20025,20025,75900
Clay,KS,20027,20027,98000
Cloud,KS,20029,20029,75800
Coffey,KS,20031,20031,119100
Comanche,KS,20033,20033,70300
Cowley,KS,20035,20035,89000
Crawford,KS,20037,20037,93900
Decatur,KS,20039,20039,67900
Dickinson,KS,20041,20041,114700
Doniphan,KS,20043,20043,100600
Douglas,KS,20045,20045,199400
Edwards,KS,20047,20047,61400
Elk,KS,20049,20049,54700
Ellis,KS,20051,20051,169100
Ellsworth,KS,20053,20053,99400
Finney,KS,20055,20055,152500
Ford,KS,20057,20057,112500
Franklin,KS,20059,20059,128000
Geary,KS,20061,20061,148800
Gove,KS,20063,20063,89600
Graham,KS,20065,20065,72500
Grant,KS,20067,20067,116100
Gray,KS,20069,20069,135500
Greeley,KS,20071,20071,111200
Greenwood,KS,20073,20073,66700
Hamilton,KS,20075,20075,81800
Harper,KS,20077,20077,74300
Harvey,KS,20079,20079,126100
Haskell,KS,20081,20081,107000
Hodgeman,KS,20083,20083,84800
Jackson,KS,20085,20085,134700
Jefferson,KS,20087,20087,150600
Jewell,KS,20089,20089,56100
Johnson,KS,20091,20091,259600
Kearny,KS,20093,20093,116700
Kingman,KS,20095,20095,91500
Kiowa,KS,20097,20097,113900
Labette,KS,20099,20099,76400
Lane,KS,20101,20101,90800
Leavenworth,KS,20103,20103,182900
Lincoln,KS,20105,20105,72700
Linn,KS,20107,20107,110100
Logan,KS,20109,20109,86600
Lyon,KS,20111,20111,106800
McPherson,KS,20113,20113,151800
Marion,KS,20115,20115,90800
Marshall,KS,20117,20117,98900
Meade,KS,20119,20119,96800
Miami,KS,20121,20121,201400
Mitchell,KS,20123,20123,88900
Montgomery,KS,20125,20125,76200
Morris,KS,20127,20127,103000
Morton,KS,20129,20129,88500
Nemaha,KS,20131,20131,130500
Neosho,KS,20133,20133,82000
Ness,KS,20135,20135,73300
Norton,KS,20137,20137,82900
Osage,KS,20139,20139,115700
Osborne,KS,20141,20141,69000
Ottawa,KS,20143,20143,105700
Pawnee,KS,20145,20145,82400
Phillips,KS,20147,20147,79600
Pottawatomie,KS,20149,20149,183100
Pratt,KS,20151,20151,91900
Rawlins,KS,20153,20153,101600
Reno,KS,20155,20155,101300
Republic,KS,20157,20157,66000
Rice,KS,20159,20159,74700
Riley,KS,20161,20161,201000
Rooks,KS,20163,20163,78800
Rush,KS,20165,20165,70800
Russell,KS,20167,20167,93400
Saline,KS,20169,20169,136800
Scott,KS,20171,20171,136200
Sedgwick,KS,20173,20173,140700
Seward,KS,20175,20175,105300
Shawnee,KS,20177,20177,132500
Sheridan,KS,20179,20179,113900
Sherman,KS,20181,20181,111400
Smith,KS,20183,20183,70200
Stafford,KS,20185,20185,65900
Stanton,KS,20187,20187,92600
Stevens,KS,20189,20189,114900
Sumner,KS,20191,20191,89800
Thomas,KS,20193,20193,129700
Trego,KS,20195,20195,99300
Wabaunsee,KS,20197,20197,146700
Wallace,KS,20199,20199,89400
Washington,KS,20201,20201,82000
Wichita,KS,20203,20203,88900
Wilson,KS,20205,20205,73500
Woodson,KS,20207,20207,73600
Wyandotte,KS,20209,20209,100300
Adair,KY,21001,21001,96400
Allen,KY,21003,21003,120600
Anderson,KY,21005,21005,149800
Ballard,KY,21007,21007,102900
Barren,KY,21009,21009,125400
Bath,KY,21011,21011,89700
Bell,KY,21013,21013,59800
Boone,KY,21015,21015,189800
Bourbon,KY,21017,21017,146700
Boyd,KY,21019,21019,111200
Boyle,KY,21021,21021,146400
Bracken,KY,21023,21023,103100
Breathitt,KY,21025,21025,54000
Breckinridge,KY,21027,21027,102900
Bullitt,KY,21029,21029,165500
Butler,KY,21031,21031,92100
Caldwell,KY,21033,21033,87900
Calloway,KY,21035,21035,137300
Campbell,KY,21037,21037,172000
Carlisle,KY,21039,21039,89300
Carroll,KY,21041,21041,115900
Carter,KY,21043,21043,95000
Casey,KY,21045,21045,87600
Christian,KY,21047,21047,117400
Clark,KY,21049,21049,145400
Clay,KY,21051,21051,54100
Clinton,KY,21053,21053,72800
Crittenden,KY,21055,21055,89900
Cumberland,KY,21057,21057,89400
Daviess,KY,21059,21059,133600
Edmonson,KY,21061,21061,87300
Elliott,KY,21063,21063,82700
Estill,KY,21065,21065,76800
Fayette,KY,21067,21067,189800
Fleming,KY,21069,21069,89900
Floyd,KY,21071,21071,74400
Franklin,KY,21073,21073,142900
Fulton,KY,21075,21075,66100
Gallatin,KY,21077,21077,128100
Garrard,KY,21079,21079,140500
Grant,KY,21081,21081,130200
Graves,KY,21083,21083,104300
Grayson,KY,21085,21085,113900
Green,KY,21087,21087,79500
Greenup,KY,21089,21089,116700
Hancock,KY,21091,21091,112300
Hardin,KY,21093,21093,156600
Harlan,KY,21095,21095,60300
Harrison,KY,21097,21097,140000
Hart,KY,21099,21099,94400
Henderson,KY,21101,21101,128400
Henry,KY,21103,21103,128700
Hickman,KY,21105,21105,80600
Hopkins,KY,21107,21107,108700
Jackson,KY,21109,21109,87200
Jefferson,KY,21111,21111,170100
Jessamine,KY,21113,21113,172100
Johnson,KY,21115,21115,101300
Kenton,KY,21117,21117,161100
Knott,KY,21119,21119,51500
Knox,KY,21121,21121,86800
Larue,KY,21123,21123,115600
Laurel,KY,21125,21125,112000
Lawrence,KY,21127,21127,79400
Lee,KY,21129,21129,63000
Leslie,KY,21131,21131,64100
Letcher,KY,21133,21133,58600
Lewis,KY,21135,21135,65500
Lincoln,KY,21137,21137,106400
Livingston,KY,21139,21139,102400
Logan,KY,21141,21141,111000
Lyon,KY,21143,21143,141500
McCracken,KY,21145,21145,143400
McCreary,KY,21147,21147,69700
McLean,KY,21149,21149,104700
Madison,KY,21151,21151,159300
Magoffin,KY,21153,21153,66800
Marion,KY,21155,21155,105400
Marshall,KY,21157,21157,131100
Martin,KY,21159,21159,84300
Mason,KY,21161,21161,132800
Meade,KY,21163,21163,153500
Menifee,KY,21165,21165,76800
Mercer,KY,21167,21167,147300
Metcalfe,KY,21169,21169,77200
Monroe,KY,21171,21171,80500
Montgomery,KY,21173,21173,116700
Morgan,KY,21175,21175,73100
Muhlenberg,KY,21177,21177,93900
Nelson,KY,21179,21179,154700
Nicholas,KY,21181,21181,85600
Ohio,KY,21183,21183,92500
Oldham,KY,21185,21185,282100
Owen,KY,21187,21187,116100
Owsley,KY,21189,21189,70200
Pendleton,KY,21191,21191,116400
Perry,KY,21193,21193,75400
Pike,KY,21195,21195,78600
Powell,KY,21197,21197,89800
Pulaski,KY,21199,21199,116200
Robertson,KY,21201,21201,114700
Rockcastle,KY,21203,21203,81900
Rowan,KY,21205,21205,124200
Russell,KY,21207,21207,95000
Scott,KY,21209,21209,189500
Shelby,KY,21211,21211,197300
Simpson,KY,21213,21213,135200
Spencer,KY,21215,21215,213300
Taylor,KY,21217,21217,120200
Todd,KY,21219,21219,106300
Trigg,KY,21221,21221,129400
Trimble,KY,21223,21223,124000
Union,KY,21225,21225,92100
Warren,KY,21227,21227,167600
Washington,KY,21229,21229,128300
Wayne,KY,21231,21231,88800
Webster,KY,21233,21233,75600
Whitley,KY,21235,21235,92500
Wolfe,KY,21237,21237,64400
Woodford,KY,21239,21239,203000
Acadia,LA,22001,22001,118000
Allen,LA,22003,22003,97500
Ascension,LA,22005,22005,207400
Assumption,LA,22007,22007,118600
Avoyelles,LA,22009,22009,104200
Beauregard,LA,22011,22011,127500
Bienville,LA,22013,22013,75900
Bossier,LA,22015,22015,172400
Caddo,LA,22017,22017,149200
Calcasieu,LA,22019,22019,156800
Caldwell,LA,22021,22021,77300
Cameron,LA,22023,22023,119500
Catahoula,LA,22025,22025,89000
Claiborne,LA,22027,22027,78100
Concordia,LA,22029,22029,80600
De Soto,LA,22031,22031,117300
East Baton Rouge,LA,22033,22033,194000
East Carroll,LA,22035,22035,76800
East Feliciana,LA,22037,22037,139300
Evangeline,LA,22039,22039,96600
Franklin,LA,22041,22041,88000
Grant,LA,22043,22043,103400
Iberia,LA,22045,22045,115600
Iberville,LA,22047,22047,143700
Jackson,LA,22049,22049,89500
Jefferson,LA,22051,22051,188200
Jefferson Davis,LA,22053,22053,114000
Lafayette,LA,22055,22055,185300
Lafourche,LA,22057,22057,158000
La Salle,LA,22059,22059,93000
Lincoln,LA,22061,22061,154500
Livingston,LA,22063,22063,167100
Madison,LA,22065,22065,78100
Morehouse,LA,22067,22067,91100
Natchitoches,LA,22069,22069,137400
Orleans,LA,22071,22071,231500
Ouachita,LA,22073,22073,146700
Plaquemines,LA,22075,22075,190600
Pointe Coupee,LA,22077,22077,142600
Rapides,LA,22079,22079,143100
Red River,LA,22081,22081,78700
Richland,LA,22083,22083,91900
Sabine,LA,22085,22085,94300
St. Bernard,LA,22087,22087,151300
St. Charles,LA,22089,22089,201700
St. Helena,LA,22091,22091,100100
St. James,LA,22093,22093,158500
St. John the Baptist,LA,22095,22095,153900
St. Landry,LA,22097,22097,108400
St. Martin,LA,22099,22099,124900
St. Mary,LA,22101,22101,106900
St. Tammany,LA,22103,22103,218500
Tangipahoa,LA,22105,22105,162800
Tensas,LA,22107,22107,66400
Terrebonne,LA,22109,22109,152500
Union,LA,22111,22111,89200
Vermilion,LA,22113,22113,122200
Vernon,LA,22115,22115,119300
Washington,LA,22117,22117,101000
Webster,LA,22119,22119,81500
West Baton Rouge,LA,22121,22121,200000
West Carroll,LA,22123,22123,90300
West Feliciana,LA,22125,22125,229500
Winn,LA,22127,22127,77700
Androscoggin,ME,23001,23001,158200
Aroostook,ME,23003,23003,99600
Cumberland,ME,23005,23005,278100
Franklin,ME,23007,23007,139800
Hancock,ME,23009,23009,212700
Kennebec,ME,23011,23011,159400
Knox,ME,23013,23013,213400
Lincoln,ME,23015,23015,215400
Oxford,ME,23017,23017,144100
Penobscot,ME,23019,23019,144700
Piscataquis,ME,23021,23021,109500
Sagadahoc,ME,23023,23023,213400
Somerset,ME,23025,23025,115700
Waldo,ME,23027,23027,163000
Washington,ME,23029,23029,112400
York,ME,23031,23031,252300
Allegany,MD,24001,24001,120700
Anne Arundel,MD,24003,24003,361200
Baltimore,MD,24005,24005,261500
Calvert,MD,24009,24009,358800
Caroline,MD,24011,24011,202500
Carroll,MD,24013,24013,339600
Cecil,MD,24015,24015,242700
Charles,MD,24017,24017,313300
Dorchester,MD,24019,24019,183300
Frederick,MD,24021,24021,331600
Garrett,MD,24023,24023,173900
Harford,MD,24025,24025,293400
Howard,MD,24027,24027,455700
Kent,MD,24029,24029,249900
Montgomery,MD,24031,24031,484900
Prince George's,MD,24033,24033,302800
Queen Anne's,MD,24035,24035,353100
St. Mary's,MD,24037,24037,301300
Somerset,MD,24039,24039,139100
Talbot,MD,24041,24041,336800
Washington,MD,24043,24043,210300
Wicomico,MD,24045,24045,175700
Worcester,MD,24047,24047,262200
Baltimore City,MD,24510,24510,160100
Barnstable,MA,25001,25001,393500
Berkshire,MA,25003,25003,216100
Bristol,MA,25005,25005,299800
Dukes,MA,25007,25007,699500
Essex,MA,25009,25009,409900
Franklin,MA,25011,25011,232100
Hampden,MA,25013,25013,207800
Hampshire,MA,25015,25015,283100
Middlesex,MA,25017,25017,500700
Nantucket,MA,25019,25019,1084700
Norfolk,MA,25021,25021,470800
Plymouth,MA,25023,25023,370300
Suffolk,MA,25025,25025,496500
Worcester,MA,25027,25027,280600
Alcona,MI,26001,26001,112000
Alger,MI,26003,26003,136200
Allegan,MI,26005,26005,165400
Alpena,MI,26007,26007,96500
Antrim,MI,26009,26009,160500
Arenac,MI,26011,26011,94400
Baraga,MI,26013,26013,102200
Barry,MI,26015,26015,158400
Bay,MI,26017,26017,102000
Benzie,MI,26019,26019,185500
Berrien,MI,26021,26021,150700
Branch,MI,26023,26023,109800
Calhoun,MI,26025,26025,110000
Cass,MI,26027,26027,142800
Charlevoix,MI,26029,26029,166300
Cheboygan,MI,26031,26031,130900
Chippewa,MI,26033,26033,119100
Clare,MI,26035,26035,91100
Clinton,MI,26037,26037,172800
Crawford,MI,26039,26039,105000
Delta,MI,26041,26041,114300
Dickinson,MI,26043,26043,101800
Eaton,MI,26045,26045,155000
Emmet,MI,26047,26047,186900
Genesee,MI,26049,26049,111100
Gladwin,MI,26051,26051,110000
Gogebic,MI,26053,26053,67100
Grand Traverse,MI,26055,26055,212500
Gratiot,MI,26057,26057,95400
Hillsdale,MI,26059,26059,120100
Houghton,MI,26061,26061,108700
Huron,MI,26063,26063,103900
Ingham,MI,26065,26065,135600
Ionia,MI,26067,26067,131800
Iosco,MI,26069,26069,92600
Iron,MI,26071,26071,77700
Isabella,MI,26073,26073,134900
Jackson,MI,26075,26075,131600
Kalamazoo,MI,26077,26077,159300
Kalkaska,MI,26079,26079,115900
Kent,MI,26081,26081,173700
Keweenaw,MI,26083,26083,121100
Lake,MI,26085,26085,88000
Lapeer,MI,26087,26087,168800
Leelanau,MI,26089,26089,268400
Lenawee,MI,26091,26091,139400
Livingston,MI,26093,26093,247100
Luce,MI,26095,26095,87200
Mackinac,MI,26097,26097,136600
Macomb,MI,26099,26099,166800
Manistee,MI,26101,26101,125400
Marquette,MI,26103,26103,153400
Mason,MI,26105,26105,141400
Mecosta,MI,26107,26107,121400
Menominee,MI,26109,26109,101600
Midland,MI,26111,26111,141700
Missaukee,MI,26113,26113,118700
Monroe,MI,26115,26115,161700
Montcalm,MI,26117,26117,113900
Montmorency,MI,26119,26119,102700
Muskegon,MI,26121,26121,117900
Newaygo,MI,26123,26123,121300
Oakland,MI,26125,26125,242700
Oceana,MI,26127,26127,118800
Ogemaw,MI,26129,26129,98200
Ontonagon,MI,26131,26131,70000
Osceola,MI,26133,26133,98500
Oscoda,MI,26135,26135,90500
Otsego,MI,26137,26137,139500
Ottawa,MI,26139,26139,191800
Presque Isle,MI,26141,26141,105400
Roscommon,MI,26143,26143,108200
Saginaw,MI,26145,26145,101300
St. Clair,MI,26147,26147,154300
St. Joseph,MI,26149,26149,122300
Sanilac,MI,26151,26151,111200
Schoolcraft,MI,26153,26153,109900
Shiawassee,MI,26155,26155,122300
Tuscola,MI,26157,26157,104000
Van Buren,MI,26159,26159,139400
Washtenaw,MI,26161,26161,263600
Wayne,MI,26163,26163,113000
Wexford,MI,26165,26165,108300
Aitkin,MN,27001,27001,183200
Anoka,MN,27003,27003,232400
Becker,MN,27005,27005,198400
Beltrami,MN,27007,27007,162600
Benton,MN,27009,27009,174900
Big Stone,MN,27011,27011,97900
Blue Earth,MN,27013,27013,184800
Brown,MN,27015,27015,141900
Carlton,MN,27017,27017,171400
Carver,MN,27019,27019,313200
Cass,MN,27021,27021,194200
Chippewa,MN,27023,27023,119700
Chisago,MN,27025,27025,231500
Clay,MN,27027,27027,197100
Clearwater,MN,27029,27029,137200
Cook,MN,27031,27031,240100
Cottonwood,MN,27033,27033,94200
Crow Wing,MN,27035,27035,198300
Dakota,MN,27037,27037,266000
Dodge,MN,27039,27039,183900
Douglas,MN,27041,27041,214800
Faribault,MN,27043,27043,89500
Fillmore,MN,27045,27045,153800
Freeborn,MN,27047,27047,113800
Goodhue,MN,27049,27049,204100
Grant,MN,27051,27051,118700
Hennepin,MN,27053,27053,276900
Houston,MN,27055,27055,173700
Hubbard,MN,27057,27057,193600
Isanti,MN,27059,27059,196800
Itasca,MN,27061,27061,164100
Jackson,MN,27063,27063,124900
Kanabec,MN,27065,27065,163900
Kandiyohi,MN,27067,27067,168900
Kittson,MN,27069,27069,84200
Koochiching,MN,27071,27071,108400
Lac qui Parle,MN,27073,27073,88600
Lake,MN,27075,27075,174700
Lake of the Woods,MN,27077,27077,161900
Le Sueur,MN,27079,27079,207400
Lincoln,MN,27081,27081,103100
Lyon,MN,27083,27083,148900
McLeod,MN,27085,27085,164700
Mahnomen,MN,27087,27087,104800
Marshall,MN,27089,27089,117000
Martin,MN,27091,27091,118300
Meeker,MN,27093,27093,170200
Mille Lacs,MN,27095,27095,163300
Morrison,MN,27097,27097,170100
Mower,MN,27099,27099,123900
Murray,MN,27101,27101,120100
Nicollet,MN,27103,27103,191900
Nobles,MN,27105,27105,127100
Norman,MN,27107,27107,100700
Olmsted,MN,27109,27109,214600
Otter Tail,MN,27111,27111,189100
Pennington,MN,27113,27113,155100
Pine,MN,27115,27115,164500
Pipestone,MN,27117,27117,97500
Polk,MN,27119,27119,165000
Pope,MN,27121,27121,174300
Ramsey,MN,27123,27123,229600
Red Lake,MN,27125,27125,116000
Redwood,MN,27127,27127,106300
Renville,MN,27129,27129,106300
Rice,MN,27131,27131,208600
Rock,MN,27133,27133,153000
Roseau,MN,27135,27135,132800
St. Louis,MN,27137,27137,157900
Scott,MN,27139,27139,299700
Sherburne,MN,27141,27141,230500
Sibley,MN,27143,27143,159200
Stearns,MN,27145,27145,184900
Steele,MN,27147,27147,169300
Stevens,MN,27149,27149,160100
Swift,MN,27151,27151,104100
Todd,MN,27153,27153,153400
Traverse,MN,27155,27155,81400
Wabasha,MN,27157,27157,183900
Wadena,MN,27159,27159,132000
Waseca,MN,27161,27161,158900
Washington,MN,27163,27163,289400
Watonwan,MN,27165,27165,96900
Wilkin,MN,27167,27167,140000
Winona,MN,27169,27169,167300
Wright,MN,27171,27171,238500
Yellow Medicine,MN,27173,27173,110000
Adams,MS,28001,28001,92100
Alcorn,MS,28003,28003,102700
Amite,MS,28005,28005,83600
Attala,MS,28007,28007,80700
Benton,MS,28009,28009,78000
Bolivar,MS,28011,28011,96100
Calhoun,MS,28013,28013,70500
Carroll,MS,28015,28015,99000
Chickasaw,MS,28017,28017,66500
Choctaw,MS,28019,28019,81400
Claiborne,MS,28021,28021,67500
Clarke,MS,28023,28023,84900
Clay,MS,28025,28025,89900
Coahoma,MS,28027,28027,68300
Copiah,MS,28029,28029,95200
Covington,MS,28031,28031,77100
DeSoto,MS,28033,28033,168500
Forrest,MS,28035,28035,122700
Franklin,MS,28037,28037,76600
George,MS,28039,28039,110800
Greene,MS,28041,28041,77700
Grenada,MS,28043,28043,105000
Hancock,MS,28045,28045,147500
Harrison,MS,28047,28047,150500
Hinds,MS,28049,28049,118600
Holmes,MS,28051,28051,60400
Humphreys,MS,28053,28053,69100
Issaquena,MS,28055,28055,79200
Itawamba,MS,28057,28057,87600
Jackson,MS,28059,28059,135900
Jasper,MS,28061,28061,79000
Jefferson,MS,28063,28063,63400
Jefferson Davis,MS,28065,28065,94600
Jones,MS,28067,28067,98600
Kemper,MS,28069,28069,73600
Lafayette,MS,28071,28071,199700
Lamar,MS,28073,28073,177700
Lauderdale,MS,28075,28075,96300
Lawrence,MS,28077,28077,94800
Leake,MS,28079,28079,83300
Lee,MS,28081,28081,133700
Leflore,MS,28083,28083,81200
Lincoln,MS,28085,28085,99500
Lowndes,MS,28087,28087,134200
Madison,MS,28089,28089,219700
Marion,MS,28091,28091,89000
Marshall,MS,28093,28093,107900
Monroe,MS,28095,28095,91700
Montgomery,MS,28097,28097,84800
Neshoba,MS,28099,28099,83000
Newton,MS,28101,28101,85600
Noxubee,MS,28103,28103,59700
Oktibbeha,MS,28105,28105,162900
Panola,MS,28107,28107,83300
Pearl River,MS,28109,28109,138200
Perry,MS,28111,28111,86700
Pike,MS,28113,28113,95500
Pontotoc,MS,28115,28115,106500
Prentiss,MS,28117,28117,92700
Quitman,MS,28119,28119,50900
Rankin,MS,28121,28121,162500
Scott,MS,28123,28123,71300
Sharkey,MS,28125,28125,64400
Simpson,MS,28127,28127,87900
Smith,MS,28129,28129,102600
Stone,MS,28131,28131,112800
Sunflower,MS,28133,28133,78400
Tallahatchie,MS,28135,28135,66400
Tate,MS,28137,28137,119200
Tippah,MS,28139,28139,86900
Tishomingo,MS,28141,28141,88100
Tunica,MS,28143,28143,107100
Union,MS,28145,28145,100600
Walthall,MS,28147,28147,95800
Warren,MS,28149,28149,128400
Washington,MS,28151,28151,75600
Wayne,MS,28153,28153,85800
Webster,MS,28155,28155,84000
Wilkinson,MS,28157,28157,70300
Winston,MS,28159,28159,84900
Yalobusha,MS,28161,28161,79700
Yazoo,MS,28163,28163,88900
Adair,MO,29001,29001,126800
Andrew,MO,29003,29003,147900
Atchison,MO,29005,29005,84900
Audrain,MO,29007,29007,97900
Barry,MO,29009,29009,120600
Barton,MO,29011,29011,97500
Bates,MO,29013,29013,114600
Benton,MO,29015,29015,117500
Bollinger,MO,29017,29017,110800
Boone,MO,29019,29019,185700
Buchanan,MO,29021,29021,122200
Butler,MO,29023,29023,113500
Caldwell,MO,29025,29025,109300
Callaway,MO,29027,29027,157400
Camden,MO,29029,29029,200800
Cape Girardeau,MO,29031,29031,160500
Carroll,MO,29033,29033,88200
Carter,MO,29035,29035,101500
Cass,MO,29037,29037,181000
Cedar,MO,29039,29039,98900
Chariton,MO,29041,29041,87900
Christian,MO,29043,29043,169000
Clark,MO,29045,29045,90000
Clay,MO,29047,29047,174900
Clinton,MO,29049,29049,159700
Cole,MO,29051,29051,162300
Cooper,MO,29053,29053,132900
Crawford,MO,29055,29055,124700
Dade,MO,29057,29057,83500
Dallas,MO,29059,29059,115000
Daviess,MO,29061,29061,110400
DeKalb,MO,29063,29063,120100
Dent,MO,29065,29065,102600
Douglas,MO,29067,29067,123100
Dunklin,MO,29069,29069,76500
Franklin,MO,29071,29071,165700
Gasconade,MO,29073,29073,134200
Gentry,MO,29075,29075,88200
Greene,MO,29077,29077,146000
Grundy,MO,29079,29079,98400
Harrison,MO,29081,29081,76000
Henry,MO,29083,29083,110500
Hickory,MO,29085,29085,83400
Holt,MO,29087,29087,88600
Howard,MO,29089,29089,130100
Howell,MO,29091,29091,112200
Iron,MO,29093,29093,83600
Jackson,MO,29095,29095,147400
Jasper,MO,29097,29097,118400
Jefferson,MO,29099,29099,161800
Johnson,MO,29101,29101,156500
Knox,MO,29103,29103,75500
Laclede,MO,29105,29105,113900
Lafayette,MO,29107,29107,143500
Lawrence,MO,29109,29109,109600
Lewis,MO,29111,29111,87900
Lincoln,MO,29113,29113,163300
Linn,MO,29115,29115,87200
Livingston,MO,29117,29117,111500
McDonald,MO,29119,29119,110500
Macon,MO,29121,29121,97200
Madison,MO,29123,29123,106100
Maries,MO,29125,29125,133200
Marion,MO,29127,29127,123400
Mercer,MO,29129,29129,88900
Miller,MO,29131,29131,136800
Mississippi,MO,29133,29133,80200
Moniteau,MO,29135,29135,124500
Monroe,MO,29137,29137,105300
Montgomery,MO,29139,29139,108100
Morgan,MO,29141,29141,125000
New Madrid,MO,29143,29143,74500
Newton,MO,29145,29145,131300
Nodaway,MO,29147,29147,126400
Oregon,MO,29149,29149,93600
Osage,MO,29151,29151,151900
Ozark,MO,29153,29153,97600
Pemiscot,MO,29155,29155,82100
Perry,MO,29157,29157,147700
Pettis,MO,29159,29159,119100
Phelps,MO,29161,29161,135000
Pike,MO,29163,29163,97800
Platte,MO,29165,29165,226500
Polk,MO,29167,29167,132300
Pulaski,MO,29169,29169,159200
Putnam,MO,29171,29171,96600
Ralls,MO,29173,29173,136200
Randolph,MO,29175,29175,105000
Ray,MO,29177,29177,133700
Reynolds,MO,29179,29179,96000
Ripley,MO,29181,29181,83800
St. Charles,MO,29183,29183,219100
St. Clair,MO,29185,29185,91900
Ste. Genevieve,MO,29186,29186,166200
St. Francois,MO,29187,29187,121000
St. Louis,MO,29189,29189,198800
Saline,MO,29195,29195,106600
Schuyler,MO,29197,29197,71200
Scotland,MO,29199,29199,113000
Scott,MO,29201,29201,109200
Shannon,MO,29203,29203,124900
Shelby,MO,29205,29205,72200
Stoddard,MO,29207,29207,104200
Stone,MO,29209,29209,172600
Sullivan,MO,29211,29211,77000
Taney,MO,29213,29213,139800
Texas,MO,29215,29215,111700
Vernon,MO,29217,29217,98300
Warren,MO,29219,29219,180000
Washington,MO,29221,29221,94400
Wayne,MO,29223,29223,85100
Webster,MO,29225,29225,136200
Worth,MO,29227,29227,63800
Wright,MO,29229,29229,103600
St. Louis City,MO,29510,29510,138700
Beaverhead,MT,30001,30001,215400
Big Horn,MT,30003,30003,126100
Blaine,MT,30005,30005,94300
Broadwater,MT,30007,30007,222200
Carbon,MT,30009,30009,247600
Carter,MT,30011,30011,110900
Cascade,MT,30013,30013,179900
Chouteau,MT,30015,30015,143200
Custer,MT,30017,30017,170400
Daniels,MT,30019,30019,126500
Dawson,MT,30021,30021,160600
Deer Lodge,MT,30023,30023,131300
Fallon,MT,30025,30025,169800
Fergus,MT,30027,30027,143000
Flathead,MT,30029,30029,273600
Gallatin,MT,30031,30031,357100
Garfield,MT,30033,30033,124100
Glacier,MT,30035,30035,107700
Golden Valley,MT,30037,30037,106100
Granite,MT,30039,30039,224000
Hill,MT,30041,30041,143600
Jefferson,MT,30043,30043,282700
