County,State,FIPS Code,Formatted FIPS,"Estimated median value of an owner-occupied home, between 2015-2"
Union,AR,5139,05139,86500
Van Buren,AR,5141,05141,101700
Washington,AR,5143,05143,173400
White,AR,5145,05145,120100
Woodruff,AR,5147,05147,66400
Yell,AR,5149,05149,109400
Alameda,CA,6001,06001,769300
Alpine,CA,6003,06003,365300
Amador,CA,6005,06005,313700
Butte,CA,6007,06007,271700
Calaveras,CA,6009,06009,319500
Colusa,CA,6011,06011,265200
Contra Costa,CA,6013,06013,625800
Del Norte,CA,6015,06015,218800
El Dorado,CA,6017,06017,460900
Fresno,CA,6019,06019,255000
Glenn,CA,6021,06021,233200
Humboldt,CA,6023,06023,313200
Imperial,CA,6025,06025,195800
Inyo,CA,6027,06027,269100
Kern,CA,6029,06029,213900
Kings,CA,6031,06031,215900
Lake,CA,6033,06033,219400
Lassen,CA,6035,06035,203000
Los Angeles,CA,6037,06037,583200
Madera,CA,6039,06039,251200
Marin,CA,6041,06041,995800
Mariposa,CA,6043,06043,275700
Mendocino,CA,6045,06045,377500
Merced,CA,6047,06047,252700
Modoc,CA,6049,06049,140600
Mono,CA,6051,06051,312500
Monterey,CA,6053,06053,516600
Napa,CA,6055,06055,635900
Nevada,CA,6057,06057,431000
Orange,CA,6059,06059,679300
Placer,CA,6061,06061,471500
Plumas,CA,6063,06063,242300
Riverside,CA,6065,06065,350100
Sacramento,CA,6067,06067,351900
San Benito,CA,6069,06069,551500
San Bernardino,CA,6071,06071,328200
San Diego,CA,6073,06073,563700
San Francisco,CA,6075,06075,1097800
San Joaquin,CA,6077,06077,342100
San Luis Obispo,CA,6079,06079,574000
San Mateo,CA,6081,06081,1089400
Santa Barbara,CA,6083,06083,577400
Santa Clara,CA,6085,06085,984000
Santa Cruz,CA,6087,06087,756600
Shasta,CA,6089,06089,252300
Sierra,CA,6091,06091,231400
Siskiyou,CA,6093,06093,198900
Solano,CA,6095,06095,406900
Sonoma,CA,6097,06097,609600
Stanislaus,CA,6099,06099,291600
Sutter,CA,6101,06101,279400
Tehama,CA,6103,06103,215900
Trinity,CA,6105,06105,287700
Tulare,CA,6107,06107,205000
Tuolumne,CA,6109,06109,289200
Ventura,CA,6111,06111,588400
Yolo,CA,6113,06113,424900
Yuba,CA,6115,06115,257100
Adams,CO,8001,08001,307600
Alamosa,CO,8003,08003,157500
Arapahoe,CO,8005,08005,358200
Archuleta,CO,8007,08007,314400
Baca,CO,8009,08009,83500
Bent,CO,8011,08011,81000
Boulder,CO,8013,08013,497300
Broomfield,CO,8014,08014,413500
Chaffee,CO,8015,08015,357800
Cheyenne,CO,8017,08017,108000
Clear Creek,CO,8019,08019,378300
Conejos,CO,8021,08021,120500
Costilla,CO,8023,08023,113000
Crowley,CO,8025,08025,79400
Custer,CO,8027,08027,281900
Delta,CO,8029,08029,241500
Denver,CO,8031,08031,390600
Dolores,CO,8033,08033,116600
Douglas,CO,8035,08035,468700
Eagle,CO,8037,08037,562300
Elbert,CO,8039,08039,463600
El Paso,CO,8041,08041,275000
Fremont,CO,8043,08043,174000
Garfield,CO,8045,08045,360600
Gilpin,CO,8047,08047,353400
Grand,CO,8049,08049,308200
Gunnison,CO,8051,08051,367300
Hinsdale,CO,8053,08053,350000
Huerfano,CO,8055,08055,161600
Jackson,CO,8057,08057,196700
Jefferson,CO,8059,08059,397700
Kiowa,CO,8061,08061,86500
Kit Carson,CO,8063,08063,122400
Lake,CO,8065,08065,232100
La Plata,CO,8067,08067,395600
Larimer,CO,8069,08069,363800
Las Animas,CO,8071,08071,151100
Lincoln,CO,8073,08073,147100
Logan,CO,8075,08075,157900
Mesa,CO,8077,08077,227000
Mineral,CO,8079,08079,308600
Moffat,CO,8081,08081,182300
Montezuma,CO,8083,08083,222800
Montrose,CO,8085,08085,224400
Morgan,CO,8087,08087,201200
Otero,CO,8089,08089,94900
Ouray,CO,8091,08091,449000
Park,CO,8093,08093,327200
Phillips,CO,8095,08095,158500
Pitkin,CO,8097,08097,615900
Prowers,CO,8099,08099,106100
Pueblo,CO,8101,08101,164600
Rio Blanco,CO,8103,08103,197100
Rio Grande,CO,8105,08105,172000
Routt,CO,8107,08107,535300
Saguache,CO,8109,08109,152700
San Juan,CO,8111,08111,322400
San Miguel,CO,8113,08113,479300
Sedgwick,CO,8115,08115,97100
Summit,CO,8117,08117,579600
Teller,CO,8119,08119,292700
Washington,CO,8121,08121,151300
Weld,CO,8123,08123,299000
Yuma,CO,8125,08125,191800
Fairfield,CT,9001,09001,428500
Hartford,CT,9003,09003,240600
Litchfield,CT,9005,09005,251000
Middlesex,CT,9007,09007,286800
New Haven,CT,9009,09009,248600
New London,CT,9011,09011,241700
Tolland,CT,9013,09013,253100
Windham,CT,9015,09015,204400
Kent,DE,10001,10001,220600
New Castle,DE,10003,10003,260800
Sussex,DE,10005,10005,258600
District of Columbia,DC,11001,11001,601500
Alachua,FL,12001,12001,186700
Baker,FL,12003,12003,138900
